district,lon,lat,nearest_stop_dist_m,road_nearest_stop_dist_m,effective_walk_dist_m,cell_population,terrain_penalty,nearest_ramp_dist_m,road_nearest_ramp_dist_m,is_remote_cell,distance_mode,remote_policy
Central & Western,114.14787000000018,22.26108000000001,891.3319227092322,891.3319227092322,1611.5663572067142,102.46452768144925,1.808042903151394,1244.5609015605505,1244.5609015605505,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.26108000000001,868.5342941744613,868.5342941744613,1607.3785846038807,102.32815719743319,1.8506794669883337,1221.7632730257794,1221.7632730257794,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.26108000000001,886.9622201922424,886.9622201922424,1778.1716899897847,98.08414992667164,2.004788534966438,1240.1911990435606,1240.1911990435606,False,road_network,exclude_remote
Central & Western,114.1508700000002,22.26108000000001,751.0321654306006,751.0321654306006,1740.3220614180102,98.54473650499729,2.3172403813360045,1104.2611442819186,1104.2611442819186,False,road_network,exclude_remote
Central & Western,114.1518700000002,22.26108000000001,761.5773924367511,761.5773924367511,1484.1623363155165,104.87354862671584,1.9488004122165115,1114.8063712880694,1114.8063712880694,False,road_network,exclude_remote
Central & Western,114.1528700000002,22.26108000000001,802.6548439262128,802.6548439262128,1647.4784591939883,100.74769016914013,2.052536618523714,1155.883822777531,1155.883822777531,False,road_network,exclude_remote
Central & Western,114.15387000000021,22.26108000000001,494.1430159753313,494.1430159753313,1081.2497104129834,116.78470742086806,2.1881311188398174,1238.5745550828697,1238.5745550828697,False,road_network,exclude_remote
Central & Western,114.15487000000022,22.26108000000001,581.5355642371129,581.5355642371129,1255.8298891328543,110.95688350145997,2.1595066000482945,1325.9671033446514,1325.9671033446514,False,road_network,exclude_remote
Central & Western,114.15587000000022,22.26108000000001,579.372854275971,579.372854275971,1390.3844860199,107.2084380690846,2.3998095108501962,1323.8043933835095,1323.8043933835095,False,road_network,exclude_remote
Central & Western,114.15687000000023,22.26108000000001,608.0119333058884,608.0119333058884,1099.5331658525693,116.782317047435,1.8084072131186253,1352.443472413427,1352.443472413427,False,road_network,exclude_remote
Central & Western,114.15787000000023,22.26108000000001,661.0806012471437,661.0806012471437,1194.2612205435648,113.61478627470701,1.8065289138579526,1405.5121403546823,1405.5121403546823,False,road_network,exclude_remote
Central & Western,114.15887000000023,22.26108000000001,730.5697171067535,730.5697171067535,1255.338283366582,112.20953269199616,1.7183004632850765,1475.001256214292,1475.001256214292,False,road_network,exclude_remote
Central & Western,114.15987000000024,22.26108000000001,768.3222368567322,768.3222368567322,1277.0743093372582,111.97409811873412,1.6621597658840015,1265.783864581486,1265.783864581486,False,road_network,exclude_remote
Central & Western,114.16087000000024,22.26108000000001,730.5220425782863,730.5220425782863,1178.5027685907166,115.39406849571775,1.6132336875576516,1227.98367030304,1227.98367030304,False,road_network,exclude_remote
Central & Western,114.16187000000025,22.26108000000001,715.0537833525862,715.0537833525862,1130.2299353246274,117.27429549077968,1.5806222715520153,1212.5154110773399,1212.5154110773399,False,road_network,exclude_remote
Central & Western,114.16287000000025,22.26108000000001,724.3305915869105,724.3305915869105,1259.3827475427322,111.95953755590676,1.7386850178225868,1221.7922193116642,1221.7922193116642,False,road_network,exclude_remote
Central & Western,114.16387000000026,22.26108000000001,442.9128271198252,442.9128271198252,776.9427136532817,130.5371248590304,1.7541662062613697,1178.186588763772,1178.186588763772,False,road_network,exclude_remote
Central & Western,114.14387000000016,22.26208000000001,1076.0518338783504,1076.0518338783504,1695.9008636078893,102.73281136820842,1.5760401220594118,1429.2808127296687,1429.2808127296687,False,road_network,exclude_remote
Central & Western,114.14487000000017,22.26208000000001,980.6574952104202,980.6574952104202,2012.2917792583228,93.56424918213109,2.0519822558706333,1333.8864740617382,1333.8864740617382,False,road_network,exclude_remote
Central & Western,114.14587000000017,22.26208000000001,889.889639800668,889.889639800668,1826.03775055408,97.00263598910858,2.0519822558706333,1243.118618651986,1243.118618651986,False,road_network,exclude_remote
Central & Western,114.14687000000018,22.26208000000001,808.9810862523618,808.9810862523618,1660.1899788708672,100.46519592161383,2.052198756044799,1162.2100651036799,1162.2100651036799,False,road_network,exclude_remote
Central & Western,114.14787000000018,22.26208000000001,795.4769471292336,795.4769471292336,1632.4768013609275,101.08600981483639,2.052198756044799,1148.705925980552,1148.705925980552,False,road_network,exclude_remote
Central & Western,114.14887000000019,22.26208000000001,757.3929867833341,757.3929867833341,1440.6017643996167,106.13797320651882,1.9020532135079393,1110.6219656346523,1110.6219656346523,False,road_network,exclude_remote
Central & Western,114.14987000000019,22.26208000000001,788.6107598128857,788.6107598128857,1499.979629909037,104.6359843307315,1.9020532135079393,1141.8397386642039,1141.8397386642039,False,road_network,exclude_remote
Central & Western,114.1508700000002,22.26208000000001,640.1883516242573,640.1883516242573,1571.72045592777,102.56837963954725,2.4550906806412067,993.4173304755753,993.4173304755753,False,road_network,exclude_remote
Central & Western,114.1518700000002,22.26208000000001,656.3173090002168,656.3173090002168,1611.318508869947,101.61468300044154,2.455090680641206,1009.546287851535,1009.546287851535,False,road_network,exclude_remote
Central & Western,114.1528700000002,22.26208000000001,713.9310251035906,713.9310251035906,1485.7106796473258,104.56164174049557,2.0810283170306976,1067.1600039549087,1067.1600039549087,False,road_network,exclude_remote
Central & Western,114.15387000000021,22.26208000000001,387.2780290288674,387.2780290288674,852.7730455518655,125.98826163454669,2.201965982140186,1131.7095681364058,1131.7095681364058,False,road_network,exclude_remote
Central & Western,114.15487000000022,22.26208000000001,472.92294013022774,472.92294013022774,934.445010447883,122.61628139575292,1.9758927536705386,1217.3544792377663,1217.3544792377663,False,road_network,exclude_remote
