osm_id,osm_type,lat,lon,ramp,kerb,wheelchair,highway
2298557848,node,22.4066189,114.2198881,,flush,,crossing
2298558134,node,22.4076764,114.2224323,,,yes,
2298558162,node,22.407774,114.222245,,,yes,
2300657366,node,22.5632529,113.8764879,,,yes,
2315765554,node,22.501333,114.1275684,,,yes,
2315859069,node,22.45102,114.161444,,,yes,elevator
2315859109,node,22.4506191,114.1609177,,,yes,
2315859113,node,22.4505758,114.1612496,,,yes,
2315859117,node,22.4507787,114.1611393,,,yes,elevator
2318534636,node,22.4442135,114.1700938,,,yes,
2318832096,node,22.2907155,114.1974972,,,yes,
2321881765,node,22.4136317,114.2225271,,flush,,crossing
2321882030,node,22.4149901,114.2228588,,flush,,crossing
2334078758,node,22.3486356,114.0618929,,,yes,
2373122143,node,22.2905784,114.207926,,,yes,
2398019533,node,22.5307519,113.9249954,,,yes,
2403562276,node,22.3961262,113.9736361,,,yes,
2405720799,node,22.3213896,114.2244689,,,yes,bus_stop
2405720801,node,22.3209374,114.2240517,,,yes,bus_stop
2405720805,node,22.3219881,114.2260642,,,yes,bus_stop
2405720813,node,22.3220921,114.226184,,,yes,bus_stop
2405720815,node,22.3196001,114.2272954,,,yes,bus_stop
2405943467,node,22.3207774,114.2268221,,,yes,bus_stop
2405943468,node,22.3246446,114.2288649,,,yes,bus_stop
2405991159,node,22.3374319,114.1982853,,,yes,bus_stop
2407077022,node,22.3751836,113.9685756,,,yes,bus_stop
2409907561,node,22.4290301,114.2438805,,,yes,
2409919310,node,22.425045,114.2312418,,,yes,
2409919311,node,22.4251689,114.2316834,,,yes,
2409919312,node,22.424493,114.2316438,,,yes,
2409931194,node,22.4178817,114.2258039,,,yes,
2409931195,node,22.4178287,114.2259672,,,yes,
2409931196,node,22.4192729,114.2264295,,,yes,
2410074740,node,22.3830363,114.2038394,,,yes,
2410074741,node,22.3831719,114.2036999,,,yes,
2410078033,node,22.376874,114.1945897,,,yes,
2410078034,node,22.3767145,114.194706,,,yes,
2410098348,node,22.3748836,114.1863407,,,yes,
2410098353,node,22.3746142,114.186325,,,yes,
2410149817,node,22.4926213,114.1383685,,,yes,
2410171248,node,22.4443453,114.1697412,,,yes,
2411853271,node,22.3045044,114.1792816,,,yes,
2412924484,node,22.2823543,114.191064,,,yes,
2418861736,node,22.3601921,114.1285597,,flush,,crossing
2428256635,node,22.2188244,114.2103825,,,yes,
2434934690,node,22.3823303,114.1879438,,,yes,
2435280354,node,22.3941722,113.9736936,,,yes,
2435280355,node,22.3944454,113.9737665,,,yes,
2435280356,node,22.3944114,113.9733722,,,yes,
2435280359,node,22.3965739,113.9734539,,,yes,
2435303323,node,22.4120404,113.9786554,,,yes,
2435335624,node,22.4468725,114.0036088,,,yes,
2435335625,node,22.4470589,114.0033561,,,yes,
2435335626,node,22.4481731,114.004498,,,yes,
2435335627,node,22.4491298,114.0054366,,,yes,
2436054864,node,22.4475217,114.0241856,,,yes,
2436054889,node,22.447783,114.0265379,,,yes,
2436311517,node,22.4459422,114.0346694,,,yes,
2436311520,node,22.4459403,114.0352194,,,yes,
2436311525,node,22.4464288,114.035346,,,yes,
2439978544,node,22.3373435,114.2640615,,,yes,
2440289846,node,22.3361104,114.1429005,,lowered,,
2441045138,node,22.3009035,114.1789815,,flush,,crossing
2441045168,node,22.3014872,114.1784238,,flush,,crossing
2458967923,node,22.5368056,113.9795191,,,yes,
2484961992,node,22.51069,114.08,,,yes,
2498627566,node,22.2770971,114.1702216,,lowered,,crossing
